Unnamed: 0,mode,num,lang,model,seed,f1,good
205,global_cap_sentences,0.5,hau,AfriBERTa,2,0.8806032677000419,0.9765717248441533
206,global_cap_sentences,0.5,hau,AfriBERTa,3,0.8770903010033444,0.9804469514971658
207,global_cap_sentences,0.5,ibo,AfriBERTa,1,0.8589211618257262,0.9840266796656721
208,global_cap_sentences,0.5,ibo,AfriBERTa,2,0.854054054054054,0.9795060131902237
209,global_cap_sentences,0.5,ibo,AfriBERTa,3,0.8531120331950207,0.9833238698405764
210,global_cap_sentences,0.5,kin,AfriBERTa,1,0.727450024378352,0.9787422058511911
211,global_cap_sentences,0.5,kin,AfriBERTa,2,0.7103718199608612,0.9684766927850111
212,global_cap_sentences,0.5,kin,AfriBERTa,3,0.7251347378735914,0.9720191330640164
213,global_cap_sentences,0.5,lug,AfriBERTa,1,0.7403685092127303,0.9427217387751766
214,global_cap_sentences,0.5,lug,AfriBERTa,2,0.7452300785634118,0.9438157441977881
215,global_cap_sentences,0.5,lug,AfriBERTa,3,0.7555053642010164,0.960664148445258
216,global_cap_sentences,0.5,luo,AfriBERTa,1,0.6076833527357393,0.8873438576279653
217,global_cap_sentences,0.5,luo,AfriBERTa,2,0.6230677764565993,0.9074645664071725
218,global_cap_sentences,0.5,luo,AfriBERTa,3,0.6175771971496437,0.9208908205724295
219,global_cap_sentences,0.5,pcm,AfriBERTa,1,0.8224101479915433,0.9550569460546954
220,global_cap_sentences,0.5,pcm,AfriBERTa,2,0.8390865639936272,0.9806758907945444
221,global_cap_sentences,0.5,pcm,AfriBERTa,3,0.8243953732912722,0.9716088328075708
222,global_cap_sentences,0.5,swa,AfriBERTa,1,0.8548123980424143,0.9823057244549903
223,global_cap_sentences,0.5,swa,AfriBERTa,2,0.8571428571428571,0.9812668463611859
224,global_cap_sentences,0.5,swa,AfriBERTa,3,0.8590217838060008,0.974040618154557
225,global_cap_sentences,0.5,wol,AfriBERTa,1,0.5694444444444444,0.9490740740740738
226,global_cap_sentences,0.5,wol,AfriBERTa,2,0.6167664670658684,0.9811300964949086
227,global_cap_sentences,0.5,wol,AfriBERTa,3,0.5916334661354582,0.9641070270413363
228,global_cap_sentences,0.5,yor,AfriBERTa,1,0.7701342281879194,0.9706643866457964
229,global_cap_sentences,0.5,yor,AfriBERTa,2,0.7796038769490097,0.975341331032774
